trip_id,date,city_id,passenger_type,distance_travelled(km),fare_amount,passenger_rating,driver_rating
TRPPTA202601082d39b88f,2026-01-08,GP02,new,16,247,10,9
TRPPLZ202601080d462b51,2026-01-08,WC02,new,19,221,10,7
TRPJHB202601083ea0af7a,2026-01-08,GP01,new,26,498,9,7
TRPDBN202601088675a4c7,2026-01-08,KZN01,repeated,7,134,6,8
TRPCPT202601086adb80a6,2026-01-08,WC01,new,8,74,7,7
TRPJHB202601085d5f1a63,2026-01-08,GP01,repeated,43,763,8,10
TRPJHB20260108d3d391be,2026-01-08,GP01,repeated,32,610,9,10
TRPCPT20260108d650f0ec,2026-01-08,WC01,repeated,20,253,5,7
TRPJHB20260108fbbd3efb,2026-01-08,GP01,new,14,296,10,8
TRPCPT20260108ba5fe791,2026-01-08,WC01,new,15,185,9,7
TRPBFN2026010806270cee,2026-01-08,FS01,repeated,9,81,7,8
TRPPMB20260108ee1ee0eb,2026-01-08,KZN02,new,33,484,10,6
TRPPLZ20260108a85423ec,2026-01-08,WC02,new,7,149,8,9
TRPPTA20260108c37b4b27,2026-01-08,GP02,repeated,29,400,8,10
TRPPTA2026010852a9726c,2026-01-08,GP02,new,31,454,9,9
TRPPMB2026010803a8f72b,2026-01-08,KZN02,new,17,247,8,7
TRPDBN202601089e4e6516,2026-01-08,KZN01,repeated,16,189,6,7
TRPJHB202601087fda4483,2026-01-08,GP01,repeated,31,600,8,9
TRPJHB20260108e390d949,2026-01-08,GP01,new,26,450,8,9
TRPNEL202601088d3a8853,2026-01-08,MP01,repeated,14,180,9,10
TRPPMB202601083cd75b3e,2026-01-08,KZN02,new,35,464,6,9
TRPJHB202601087cc8df04,2026-01-08,GP01,new,39,758,8,9
TRPPLZ202601080517b046,2026-01-08,WC02,new,22,226,10,9
TRPPTA202601083a4c5c62,2026-01-08,GP02,repeated,26,386,9,10
TRPDBN202601088dbf1be5,2026-01-08,KZN01,repeated,10,169,7,6
TRPJHB20260108bc9df25c,2026-01-08,GP01,new,33,603,10,8
TRPPMB202601087dfffb12,2026-01-08,KZN02,repeated,22,356,7,8
TRPPLZ202601083e7b2a46,2026-01-08,WC02,new,24,266,9,8
TRPDBN20260108f1db9070,2026-01-08,KZN01,repeated,14,190,6,5
TRPBFN2026010845b1ab5b,2026-01-08,FS01,new,20,198,8,6
TRPJHB202601080b560334,2026-01-08,GP01,new,27,450,9,7
TRPDBN20260108fae3e5f4,2026-01-08,KZN01,new,12,107,8,6
TRPDBN20260108d7631d17,2026-01-08,KZN01,repeated,7,111,7,6
TRPJHB202601081ecf8c2f,2026-01-08,GP01,repeated,30,483,9,10
TRPELS20260108c8805a01,2026-01-08,EC01,new,16,225,7,8
TRPPMB20260108fa5bbe27,2026-01-08,KZN02,new,19,288,8,8
TRPPLZ202601085251b8a4,2026-01-08,WC02,new,13,185,10,7
TRPPLZ2026010850699efe,2026-01-08,WC02,new,18,226,7,8
TRPPTA2026010864361d1a,2026-01-08,GP02,repeated,19,328,9,9
TRPPMB20260108008fa71a,2026-01-08,KZN02,new,18,262,6,10
TRPBFN2026010852c34186,2026-01-08,FS01,new,10,144,7,7
TRPBFN20260108932d1ad1,2026-01-08,FS01,new,5,69,6,8
TRPELS202601082b85bdc2,2026-01-08,EC01,new,22,403,10,9
TRPPTA2026010860994cd3,2026-01-08,GP02,new,20,303,10,10
TRPCPT20260108c0f10ac0,2026-01-08,WC01,repeated,7,151,7,7
TRPDBN2026010845bbf405,2026-01-08,KZN01,repeated,16,143,7,5
TRPJHB20260108a5aa9ec7,2026-01-08,GP01,new,31,611,10,9
TRPNEL20260108901e78b9,2026-01-08,MP01,new,15,270,9,9
TRPJHB202601080211c080,2026-01-08,GP01,repeated,44,790,7,8
