trip_id,date,city_id,passenger_type,distance_travelled(km),fare_amount,passenger_rating,driver_rating
TRPPTA202510127b1094bb,2025-10-12,GP02,new,11,233,9,8
TRPPLZ202510128059adc8,2025-10-12,WC02,new,19,196,10,6
TRPJHB20251012ef90fed4,2025-10-12,GP01,new,26,491,9,7
TRPDBN20251012635d798c,2025-10-12,KZN01,repeated,12,115,7,6
TRPCPT202510121dc9d204,2025-10-12,WC01,new,5,80,7,6
TRPJHB20251012028e0aea,2025-10-12,GP01,repeated,44,753,8,10
TRPJHB20251012acd91dfe,2025-10-12,GP01,repeated,37,610,10,10
TRPCPT20251012ab5ca1f7,2025-10-12,WC01,repeated,16,261,6,7
TRPJHB20251012e0cfee3b,2025-10-12,GP01,new,17,302,10,9
TRPCPT20251012af293586,2025-10-12,WC01,new,16,188,10,6
TRPBFN202510121c012768,2025-10-12,FS01,repeated,6,77,7,7
TRPPMB20251012edbab910,2025-10-12,KZN02,new,36,463,10,7
TRPPLZ20251012ef0a74c3,2025-10-12,WC02,new,9,133,7,9
TRPPTA20251012368f95b2,2025-10-12,GP02,repeated,29,376,8,10
TRPPTA202510127a2ea758,2025-10-12,GP02,new,30,455,9,10
TRPPMB202510120eb1fb9c,2025-10-12,KZN02,new,17,266,9,6
TRPDBN202510126f8033a1,2025-10-12,KZN01,repeated,18,195,8,7
TRPJHB2025101247158b22,2025-10-12,GP01,repeated,37,625,8,7
TRPJHB20251012903a5b4c,2025-10-12,GP01,new,25,458,7,7
TRPNEL20251012338e6963,2025-10-12,MP01,repeated,13,183,8,8
TRPPMB20251012428c58ff,2025-10-12,KZN02,new,33,480,6,8
TRPJHB202510129876d8ee,2025-10-12,GP01,new,42,732,8,7
TRPPLZ202510121463b819,2025-10-12,WC02,new,22,231,10,7
TRPPTA202510122d87f732,2025-10-12,GP02,repeated,28,401,7,10
TRPDBN20251012c809af18,2025-10-12,KZN01,repeated,9,131,6,7
TRPJHB2025101260a6159f,2025-10-12,GP01,new,32,620,10,8
TRPPMB20251012e8f6ecbd,2025-10-12,KZN02,repeated,27,348,7,10
TRPPLZ202510125e703bee,2025-10-12,WC02,new,20,244,8,8
TRPDBN202510123a61bb20,2025-10-12,KZN01,repeated,16,197,5,6
TRPBFN202510129f696fd0,2025-10-12,FS01,new,16,184,10,7
TRPJHB202510122c30adce,2025-10-12,GP01,new,23,481,8,8
TRPDBN2025101279e4c3d2,2025-10-12,KZN01,new,11,108,7,5
TRPDBN2025101223ac43b1,2025-10-12,KZN01,repeated,5,105,7,7
TRPJHB2025101242bbf992,2025-10-12,GP01,repeated,30,509,9,10
TRPELS20251012dbe18736,2025-10-12,EC01,new,14,246,8,9
TRPPMB202510125d4168e4,2025-10-12,KZN02,new,20,301,8,7
TRPPLZ202510125722c987,2025-10-12,WC02,new,15,176,9,7
TRPPLZ20251012a3f2eedf,2025-10-12,WC02,new,18,224,8,9
TRPPTA20251012396319da,2025-10-12,GP02,repeated,18,311,8,8
TRPPMB202510129c4b97d4,2025-10-12,KZN02,new,18,274,6,9
TRPBFN20251012b989170a,2025-10-12,FS01,new,8,118,7,6
TRPBFN20251012d577631e,2025-10-12,FS01,new,5,60,8,8
TRPELS20251012740379d0,2025-10-12,EC01,new,26,428,8,8
TRPPTA20251012c3311ece,2025-10-12,GP02,new,17,275,8,10
TRPCPT202510120c2a8f2b,2025-10-12,WC01,repeated,9,150,7,7
TRPDBN2025101227abb78b,2025-10-12,KZN01,repeated,15,160,7,6
TRPJHB20251012792300aa,2025-10-12,GP01,new,30,578,10,10
TRPNEL20251012f75852c8,2025-10-12,MP01,new,20,254,9,10
TRPJHB2025101229879b35,2025-10-12,GP01,repeated,43,789,8,8
TRPJHB20251012509556c7,2025-10-12,GP01,new,38,664,9,8
TRPELS20251012c8fc69b4,2025-10-12,EC01,repeated,13,198,8,7
TRPPMB202510129dc7676f,2025-10-12,KZN02,repeated,22,319,7,7
TRPDBN202510124b9c3696,2025-10-12,KZN01,repeated,8,84,5,7
TRPJHB202510125e019bee,2025-10-12,GP01,new,13,286,10,10
TRPCPT20251012ed4cc87e,2025-10-12,WC01,repeated,5,74,5,6
TRPRST2025101280929ef2,2025-10-12,NW01,new,18,221,10,9
TRPPTA20251012cf6fa0aa,2025-10-12,GP02,new,18,270,10,9
TRPPTA20251012638f6508,2025-10-12,GP02,new,9,172,10,10
TRPPTA20251012388f9351,2025-10-12,GP02,new,34,524,10,9
TRPNEL202510122b7b0bfb,2025-10-12,MP01,new,22,334,9,7
TRPCPT2025101296dcfa16,2025-10-12,WC01,new,10,174,7,9
TRPPLZ20251012359af82b,2025-10-12,WC02,new,10,142,9,9
TRPJHB202510121d7f36ea,2025-10-12,GP01,new,32,650,8,9
TRPPMB20251012e7bc7250,2025-10-12,KZN02,new,9,188,7,7
TRPNEL202510120d67db9a,2025-10-12,MP01,new,15,204,8,10
TRPBFN20251012122b54d3,2025-10-12,FS01,repeated,20,192,4,4
TRPJHB202510129253c636,2025-10-12,GP01,new,41,751,10,9
TRPNEL202510121e84aa68,2025-10-12,MP01,new,20,324,8,10
TRPCPT20251012a1c68e48,2025-10-12,WC01,repeated,19,247,6,7
TRPDBN2025101286867680,2025-10-12,KZN01,repeated,10,159,6,5
TRPELS2025101279aaea3d,2025-10-12,EC01,new,8,186,10,9
TRPDBN202510126d3b9a74,2025-10-12,KZN01,repeated,12,178,5,7
TRPPMB202510125d667b61,2025-10-12,KZN02,new,32,440,8,8
TRPPMB202510125d18892e,2025-10-12,KZN02,repeated,13,189,8,9
TRPJHB2025101221328b80,2025-10-12,GP01,new,13,308,9,9
TRPPTA20251012481518d6,2025-10-12,GP02,new,24,368,10,7
TRPPLZ20251012468f0324,2025-10-12,WC02,repeated,17,228,9,6
TRPPTA202510126f71a6c3,2025-10-12,GP02,new,35,488,9,8
TRPPTA20251012cdcefac9,2025-10-12,GP02,new,29,395,8,9
TRPCPT20251012b03e6b7c,2025-10-12,WC01,new,9,165,8,9
TRPPTA202510125a673b60,2025-10-12,GP02,new,39,579,10,8
TRPBFN202510128614d403,2025-10-12,FS01,new,11,138,10,6
TRPJHB20251012a9119279,2025-10-12,GP01,repeated,25,451,9,7
TRPJHB20251012976b5187,2025-10-12,GP01,new,23,395,9,9
TRPPTA20251012d92373d5,2025-10-12,GP02,new,26,367,8,10
TRPJHB2025101208233b21,2025-10-12,GP01,new,18,359,9,9
TRPNEL2025101204d7a6b9,2025-10-12,MP01,new,19,290,9,10
TRPPMB202510121b6db64f,2025-10-12,KZN02,repeated,37,462,7,6
TRPCPT202510121d5840bd,2025-10-12,WC01,new,12,189,7,7
TRPRST202510124637421b,2025-10-12,NW01,repeated,15,226,6,7
TRPPLZ20251012c3a9cb7a,2025-10-12,WC02,repeated,20,222,7,7
TRPJHB20251012e1b85737,2025-10-12,GP01,repeated,21,382,6,10
TRPPTA20251012c1f2120a,2025-10-12,GP02,new,18,304,7,9
TRPNEL20251012269f7102,2025-10-12,MP01,new,13,166,8,10
TRPJHB20251012ecfe07c7,2025-10-12,GP01,repeated,38,678,10,10
TRPPTA202510121c01885f,2025-10-12,GP02,new,30,434,7,10
TRPPMB20251012fed5ca25,2025-10-12,KZN02,new,24,361,8,7
TRPJHB202510122ed2c89f,2025-10-12,GP01,new,30,509,8,7
TRPJHB20251012b1179535,2025-10-12,GP01,new,19,293,8,9
TRPPLZ202510121895b9f4,2025-10-12,WC02,repeated,16,236,9,5
TRPRST202510127fec406e,2025-10-12,NW01,new,16,235,10,7
TRPBFN202510123e1ac15f,2025-10-12,FS01,new,5,81,8,6
TRPPLZ20251012f149b284,2025-10-12,WC02,new,26,296,8,7
TRPPTA2025101273373423,2025-10-12,GP02,new,9,208,9,10
TRPPMB2025101200c378aa,2025-10-12,KZN02,repeated,16,271,7,7
TRPJHB20251012c2d9dbba,2025-10-12,GP01,repeated,12,292,9,8
TRPJHB20251012472e6434,2025-10-12,GP01,repeated,41,710,9,8
TRPNEL20251012e3fa92b6,2025-10-12,MP01,new,20,279,9,9
TRPDBN20251012c58d550a,2025-10-12,KZN01,repeated,7,114,5,9
TRPPLZ2025101221a3947e,2025-10-12,WC02,new,12,170,9,9
TRPRST20251012e8657a93,2025-10-12,NW01,repeated,17,209,9,8
TRPJHB20251012f2e2bb56,2025-10-12,GP01,new,20,345,10,10
TRPPMB2025101282189043,2025-10-12,KZN02,new,20,294,7,9
TRPJHB20251012d441083d,2025-10-12,GP01,new,36,668,10,10
TRPPTA20251012fcea42c3,2025-10-12,GP02,repeated,26,418,8,8
TRPRST20251012fee61f4c,2025-10-12,NW01,new,17,236,8,6
TRPPTA202510123778cc2a,2025-10-12,GP02,new,12,189,9,10
TRPPMB20251012dcfec0a8,2025-10-12,KZN02,new,15,195,9,8
TRPPTA202510129125ab7b,2025-10-12,GP02,new,20,293,10,9
TRPJHB20251012e23fdc6f,2025-10-12,GP01,new,44,771,8,7
TRPPLZ2025101260c4da0f,2025-10-12,WC02,repeated,21,205,7,9
TRPDBN202510127fbb9077,2025-10-12,KZN01,repeated,9,68,7,8
TRPDBN20251012295659b6,2025-10-12,KZN01,new,15,162,9,8
TRPJHB2025101233469dad,2025-10-12,GP01,new,23,389,9,9
TRPCPT20251012da0e5ba5,2025-10-12,WC01,new,11,213,9,7
TRPPLZ2025101228a6686f,2025-10-12,WC02,new,11,160,9,6
TRPELS20251012da5349e7,2025-10-12,EC01,new,7,179,10,9
TRPJHB20251012ba4301a6,2025-10-12,GP01,new,23,461,10,7
TRPCPT20251012e5a8f45d,2025-10-12,WC01,new,15,197,6,9
TRPCPT202510129f7d59c5,2025-10-12,WC01,repeated,7,124,6,7
TRPJHB202510129bdb1b82,2025-10-12,GP01,new,13,307,7,8
TRPCPT20251012fd94d353,2025-10-12,WC01,new,13,155,10,7
TRPDBN20251012cb7c0267,2025-10-12,KZN01,new,15,190,10,7
TRPPMB2025101201ba685b,2025-10-12,KZN02,new,29,373,6,9
TRPPLZ20251012c6048538,2025-10-12,WC02,new,18,215,9,9
TRPDBN202510124a1c868f,2025-10-12,KZN01,new,17,203,7,6
TRPJHB202510126efee65e,2025-10-12,GP01,new,22,391,9,9
TRPJHB20251012ea4bcc03,2025-10-12,GP01,new,43,734,8,8
TRPJHB202510129f91689b,2025-10-12,GP01,new,43,749,8,10
TRPNEL20251012b8f3f613,2025-10-12,MP01,new,25,377,9,8
TRPPMB202510121229392b,2025-10-12,KZN02,new,34,468,8,6
TRPJHB202510120f795555,2025-10-12,GP01,new,45,765,7,7
TRPJHB202510128a3ef885,2025-10-12,GP01,new,34,629,9,8
TRPPLZ202510125a6bc5e9,2025-10-12,WC02,repeated,28,301,6,6
TRPJHB20251012e75b67e2,2025-10-12,GP01,new,42,819,9,9
TRPCPT20251012dc6a4aa2,2025-10-12,WC01,new,11,116,8,6
TRPCPT202510121e7fb3af,2025-10-12,WC01,new,10,180,7,7
TRPPLZ20251012c253824d,2025-10-12,WC02,repeated,11,145,8,9
TRPJHB202510125c7c7caf,2025-10-12,GP01,new,16,327,8,9
TRPDBN202510128f671654,2025-10-12,KZN01,new,13,173,8,5
TRPPTA2025101256541273,2025-10-12,GP02,new,32,439,9,9
TRPPMB20251012f56aec8b,2025-10-12,KZN02,new,27,367,10,6
TRPPTA20251012fba58772,2025-10-12,GP02,new,21,372,9,8
TRPJHB202510127e35439f,2025-10-12,GP01,repeated,47,769,10,8
TRPPMB2025101262c717f2,2025-10-12,KZN02,new,27,360,7,10
TRPDBN2025101270c62c08,2025-10-12,KZN01,repeated,12,133,4,7
TRPPTA202510124625b369,2025-10-12,GP02,repeated,39,559,9,10
TRPJHB202510121a4013ea,2025-10-12,GP01,new,35,660,8,10
TRPBFN2025101229401ddb,2025-10-12,FS01,repeated,6,86,5,7
TRPPTA20251012a78db80f,2025-10-12,GP02,repeated,25,415,8,10
TRPJHB2025101262b5489d,2025-10-12,GP01,new,38,698,10,10
TRPPLZ2025101208eef5e0,2025-10-12,WC02,new,18,216,10,9
TRPPTA20251012347d3143,2025-10-12,GP02,new,30,457,7,9
TRPPTA20251012643a3651,2025-10-12,GP02,new,14,259,9,9
TRPPMB20251012a7432d87,2025-10-12,KZN02,repeated,13,192,7,7
TRPPLZ202510121b9b3ece,2025-10-12,WC02,repeated,19,193,9,7
TRPJHB20251012c3eb68de,2025-10-12,GP01,repeated,27,554,7,10
TRPRST20251012294085e4,2025-10-12,NW01,repeated,17,206,5,8
TRPELS2025101257542372,2025-10-12,EC01,new,17,261,8,8
TRPELS20251012980d94b8,2025-10-12,EC01,new,18,309,10,8
TRPCPT20251012afeecd1e,2025-10-12,WC01,repeated,14,223,7,6
TRPJHB202510129e3f8e45,2025-10-12,GP01,new,39,713,10,9
TRPPTA202510121098d1c4,2025-10-12,GP02,repeated,10,202,8,10
TRPJHB202510129f5ae1fb,2025-10-12,GP01,new,38,727,10,9
TRPPMB202510129d4a3c57,2025-10-12,KZN02,repeated,31,437,5,9
TRPELS20251012ea0139b3,2025-10-12,EC01,new,20,340,9,10
TRPJHB20251012092205d2,2025-10-12,GP01,new,41,768,9,9
TRPPMB202510121407aa42,2025-10-12,KZN02,new,18,265,8,10
TRPNEL20251012b65f4caa,2025-10-12,MP01,new,33,469,8,10
